ID;Resp_ID;Date_HOUR;Date_HOUR_end;Asset_ID; PTS ;Dropdawn;;
107742;AR0196;01/01/2020 8:37;01/01/2020 9:31;ES.09.21;-2,25 ;-1,70;;
107772;TN0025;02/01/2020 8:51;02/01/2020 10:12;ES.09.21; 6,25 ;-0,09;;
142453;TL0367;02/01/2020 8:52;30/09/2020 10:35;NQ.09.21;-6;-4,38;;
142447;AR0196;02/01/2020 10:57;11/06/2020 8:58;ES.09.21;-2,25;-0,93;;
107804;TN0310;03/01/2020 2:08;03/01/2020 10:38;CL.07.21;-5,00 ;-2,59;;
143455;TN0173;03/01/2020 2:34;21/08/2020 2:22;NQ.09.21;-6;-1,09;;
107887;TL0274;03/01/2020 8:45;03/01/2020 10:44;CL.07.21;-5,00 ;-0,27;;
142080;TN0173;03/01/2020 9:09;13/03/2020 8:46;NQ.09.21;-6;-1,53;;
142619;TL0274;04/01/2020 11:09;05/05/2020 8:56;CL.07.21;-5;-2,9;;
108134;TL0151;06/01/2020 2:08;06/01/2020 3:56;DX.09.21; 12,00 ;-3,46;;
107962;TL0367;06/01/2020 2:27;06/01/2020 20:05;NQ.09.21; 25,50 ;-4,61;;
108059;TN0310;06/01/2020 8:32;06/01/2020 9:28;CL.07.21;-5,00 ;-0,27;;
141829;AR0196;06/01/2020 8:58;15/04/2020 10:24;ES.09.21;-2,25;-1,23;;
139356;TA0056;06/01/2020 8:59;18/11/2020 9:47;NQ.09.21;-6;-0,6;;
139278;TL0367;06/01/2020 10:14;01/10/2020 9:06;NQ.09.21;-6;-0,64;;
108024;TN0025;06/01/2020 18:31;06/01/2020 19:24;ES.09.21;-2,25 ;-1,64;;
108166;TN0025;07/01/2020 8:40;07/01/2020 9:01;ES.09.21;-2,25 ;-0,09;;
141130;AR0196;07/01/2020 9:02;29/01/2020 9:45;ES.09.21;-2,25;-0,85;;
108215;TL0367;08/01/2020 8:59;08/01/2020 9:14;NQ.09.21;-6,00 ;-4,50;;
141974;TN0025;08/01/2020 10:45;22/09/2020 8:53;ES.09.21;-2,25;-1,56;;
140456;TN0062;08/01/2020 18:22;23/11/2020 20:35;NQ.09.21;-6;-1,08;;
142531;TN0108;08/01/2020 20:22;14/07/2020 18:15;GC.07.21;-4;-3,78;;
138855;TN0108;09/01/2020 9:33;08/04/2020 9:01;GC.07.21;-4;-2,23;;
108265;AR0238;09/01/2020 18:18;09/01/2020 18:41;NQ.09.21; 25,50 ;-1,74;;
108330;AV0171;09/01/2020 18:31;09/01/2020 20:23;ES.09.21; 6,25 ;-0,66;;
108428;TN0310;10/01/2020 2:23;10/01/2020 9:13;CL.07.21;-5,00 ;-0,44;;
108395;AR0238;10/01/2020 2:36;10/01/2020 20:18;NQ.09.21; 25,50 ;-3,04;;
142016;TN0173;10/01/2020 9:01;23/06/2020 9:31;NQ.09.21;-6;-3;;
140973;TL0367;10/01/2020 10:05;18/02/2020 8:49;NQ.09.21;-6;-1,86;;
108496;TN0025;13/01/2020 8:48;13/01/2020 8:54;ES.09.21; 6,25 ;-0,37;;
108556;TL0151;14/01/2020 2:25;14/01/2020 2:36;DX.09.21; 12,00 ;-0,83;;
108624;TN0108;14/01/2020 8:42;14/01/2020 18:38;GC.07.21;-4,00 ;-3,46;;
108755;AR0196;15/01/2020 9:05;15/01/2020 10:00;ES.09.21; 6,25 ;-0,77;;
108697;TN0173;15/01/2020 18:05;15/01/2020 19:41;NQ.09.21; 25,50 ;-2,75;;
108806;TA0104;15/01/2020 18:31;15/01/2020 20:04;GC.07.21; 12,00 ;-0,20;;
108837;TA0056;16/01/2020 9:02;16/01/2020 20:05;NQ.09.21;-6,00 ;-4,56;;
108878;TL0274;17/01/2020 2:08;17/01/2020 10:38;CL.07.21; 15,00 ;-1,15;;
139650;TN0310;17/01/2020 8:33;null;CL.07.21;null;null;;
108967;TN0204;17/01/2020 9:01;17/01/2020 9:23;ES.09.21; 6,25 ;-1,61;;
109039;TA0056;17/01/2020 18:31;17/01/2020 19:29;NQ.09.21; 25,50 ;-0,58;;
108923;TN0108;17/01/2020 18:38;17/01/2020 19:22;GC.07.21;-4,00 ;-2,57;;
109138;TA0056;20/01/2020 2:27;20/01/2020 9:47;NQ.09.21; 25,50 ;-0,85;;
109107;TN0062;20/01/2020 8:46;20/01/2020 18:47;NQ.09.21; 25,50 ;-0,50;;
109189;TA0104;20/01/2020 18:27;20/01/2020 19:33;GC.07.21;-4,00 ;-1,36;;
109308;TA0056;21/01/2020 2:21;21/01/2020 10:46;NQ.09.21; 25,50 ;-0,03;;
109249;AV0171;21/01/2020 8:37;21/01/2020 9:32;ES.09.21; 6,25 ;-1,93;;
109354;TL0274;21/01/2020 8:38;21/01/2020 9:27;CL.07.21; 15,00 ;-3,53;;
138746;TL0274;21/01/2020 8:55;06/11/2020 10:35;CL.07.21;-5;-3,83;;
139174;TN0173;21/01/2020 19:02;04/11/2020 18:23;NQ.09.21;-6;-5,34;;
143207;TA0056;22/01/2020 2:08;26/11/2020 2:41;NQ.09.21;-6;-1,08;;
109394;TA0056;22/01/2020 2:18;22/01/2020 3:24;NQ.09.21; 25,50 ;-3,74;;
109490;TL0367;22/01/2020 9:03;22/01/2020 9:28;NQ.09.21;-6,00 ;-0,58;;
109448;TL0274;22/01/2020 9:04;22/01/2020 10:27;CL.07.21; 15,00 ;-3,51;;
143202;AR0238;23/01/2020 11:05;14/10/2020 8:51;NQ.09.21;-6;-1,28;;
109605;TA0056;23/01/2020 18:18;23/01/2020 20:33;NQ.09.21; 25,50 ;-1,96;;
109522;TN0173;23/01/2020 18:23;23/01/2020 20:18;NQ.09.21; 25,50 ;-5,65;;
109641;TL0274;24/01/2020 2:10;24/01/2020 2:22;CL.07.21; 15,00 ;-3,74;;
141415;TN0204;24/01/2020 3:05;17/08/2020 2:16;ES.09.21;-2,25;-0,35;;
138741;AR0238;24/01/2020 3:20;01/12/2020 2:21;NQ.09.21;-6;-1,69;;
109677;TN0204;24/01/2020 8:40;24/01/2020 8:54;ES.09.21; 6,25 ;-1,93;;
109717;TN0310;27/01/2020 2:06;27/01/2020 2:54;CL.07.21; 15,00 ;-0,21;;
138534;TL0151;27/01/2020 2:24;21/04/2020 2:52;DX.09.21;-8;-0,34;;
109805;TL0151;27/01/2020 2:25;27/01/2020 3:56;DX.09.21; 12,00 ;-6,94;;
143220;TL0151;27/01/2020 4:18;06/08/2020 2:37;DX.09.21;-8;-4,5;;
142425;TL0367;27/01/2020 8:48;05/07/2020 10:53;NQ.09.21;-6;-4,03;;
109893;TL0274;27/01/2020 8:51;27/01/2020 10:34;CL.07.21; 15,00 ;-3,74;;
138723;TA0056;28/01/2020 4:01;05/06/2020 2:16;NQ.09.21;-6;-4,7;;
109982;TA0104;28/01/2020 8:37;28/01/2020 20:16;GC.07.21;-4,00 ;-2,78;;
110117;AR0238;30/01/2020 2:22;30/01/2020 9:13;NQ.09.21;-6,00 ;-5,38;;
110066;TL0274;30/01/2020 2:36;30/01/2020 3:14;CL.07.21;-5,00 ;-3,74;;
110185;TN0108;30/01/2020 18:14;30/01/2020 18:38;GC.07.21;-4,00 ;-2,09;;
110238;TA0104;31/01/2020 8:37;31/01/2020 20:20;GC.07.21; 12,00 ;-0,42;;
140844;AR0196;03/02/2020 4:03;29/05/2020 2:17;ES.09.21;-2,25;-1,85;;
110276;TL0151;04/02/2020 2:22;04/02/2020 3:16;DX.09.21; 12,00 ;-5,89;;
110312;AR0196;05/02/2020 8:38;05/02/2020 9:04;ES.09.21; 6,25 ;-0,68;;
110380;AR0238;06/02/2020 2:21;06/02/2020 20:18;NQ.09.21; 25,50 ;-2,34;;
110350;TN0062;06/02/2020 2:23;06/02/2020 11:18;NQ.09.21; 25,50 ;-5,53;;
110467;AV0171;06/02/2020 8:58;06/02/2020 20:53;ES.09.21; 6,25 ;-1,30;;
143281;AR0238;07/02/2020 2:27;25/11/2020 2:16;NQ.09.21;-6;-0,27;;
110554;AV0171;07/02/2020 8:34;07/02/2020 9:04;ES.09.21;-2,25 ;-1,77;;
110607;TN0204;07/02/2020 8:48;07/02/2020 9:23;ES.09.21; 6,25 ;-0,09;;
143186;AR0238;07/02/2020 8:55;19/02/2020 10:19;NQ.09.21;-6;-4,25;;
110690;TN0204;10/02/2020 8:42;10/02/2020 9:43;ES.09.21; 6,25 ;-1,68;;
140213;TL0274;10/02/2020 9:46;29/06/2020 8:56;CL.07.21;-5;-0,01;;
110775;TN0310;11/02/2020 2:15;11/02/2020 10:06;CL.07.21; 15,00 ;-3,74;;
143194;TN0062;11/02/2020 8:37;null;NQ.09.21;null;null;;
138867;TL0367;11/02/2020 8:59;21/06/2020 9:03;NQ.09.21;-6;-5;;
110725;AV0171;11/02/2020 9:04;11/02/2020 10:22;ES.09.21; 6,25 ;-0,77;;
110827;TA0104;11/02/2020 18:29;11/02/2020 19:18;GC.07.21;-4,00 ;-1,71;;
140682;TN0310;12/02/2020 4:15;13/11/2020 2:15;CL.07.21;-5;-2,6;;
110867;AR0196;12/02/2020 8:44;12/02/2020 9:56;ES.09.21;-2,25 ;-1,51;;
110999;TN0310;12/02/2020 8:51;12/02/2020 10:08;CL.07.21;-5,00 ;-3,53;;
110939;TA0104;12/02/2020 18:14;12/02/2020 19:23;GC.07.21;-4,00 ;-3,50;;
138660;TN0173;12/02/2020 18:15;20/02/2020 20:07;NQ.09.21;-6;-5,25;;
111077;TA0104;13/02/2020 8:53;13/02/2020 20:00;GC.07.21;-4,00 ;-1,71;;
139972;TN0310;14/02/2020 2:06;27/10/2020 3:56;CL.07.21;-5;-2,37;;
111142;AV0171;14/02/2020 2:16;14/02/2020 10:20;ES.09.21; 6,25 ;-1,51;;
140126;AR0238;14/02/2020 8:47;05/07/2020 9:27;NQ.09.21;-6;-2,28;;
139875;AV0171;14/02/2020 10:46;04/09/2020 8:51;ES.09.21;-2,25;-2,13;;
140100;TL0274;15/02/2020 2:38;25/05/2020 2:10;CL.07.21;-5;-4,12;;
111257;TN0310;17/02/2020 2:15;17/02/2020 2:22;CL.07.21;-5,00 ;-0,92;;
111197;AR0196;17/02/2020 2:22;17/02/2020 10:15;ES.09.21; 6,25 ;-1,10;;
141750;TN0025;17/02/2020 11:08;08/09/2020 9:04;ES.09.21;-2,25;-0,59;;
111343;TL0274;18/02/2020 2:08;18/02/2020 3:29;CL.07.21; 15,00 ;-2,29;;
140374;TL0274;18/02/2020 10:02;28/08/2020 8:55;CL.07.21;-5;-2,05;;
141668;TN0025;19/02/2020 4:25;10/09/2020 2:22;ES.09.21;-2,25;-0,12;;
141756;TL0367;19/02/2020 8:40;06/04/2020 9:51;NQ.09.21;-6;-1,46;;
143154;TN0108;19/02/2020 8:47;02/06/2020 10:28;GC.07.21;-4;-1,13;;
139463;TN0204;19/02/2020 8:58;03/09/2020 11:13;ES.09.21;-2,25;-0,63;;
111513;TA0056;19/02/2020 18:18;19/02/2020 18:56;NQ.09.21;-6,00 ;-2,75;;
111452;TN0108;19/02/2020 18:34;19/02/2020 19:46;GC.07.21; 12,00 ;-0,05;;
111405;TN0108;19/02/2020 18:38;19/02/2020 20:47;GC.07.21; 12,00 ;-1,71;;
